election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007009,,Presidential Electors,candidate,George W. Bush,REP,120,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007010,,Presidential Electors,candidate,George W. Bush,REP,149,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007011,,Presidential Electors,candidate,George W. Bush,REP,300,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007012,,Presidential Electors,candidate,George W. Bush,REP,378,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007013,,Presidential Electors,candidate,George W. Bush,REP,332,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007014,,Presidential Electors,candidate,George W. Bush,REP,142,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007015,,Presidential Electors,candidate,George W. Bush,REP,304,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007016,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007017,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007018,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007019,,Presidential Electors,candidate,George W. Bush,REP,106,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007020,,Presidential Electors,candidate,George W. Bush,REP,110,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007021,,Presidential Electors,candidate,George W. Bush,REP,158,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007022,,Presidential Electors,candidate,George W. Bush,REP,130,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007023,,Presidential Electors,candidate,George W. Bush,REP,242,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007024,,Presidential Electors,candidate,George W. Bush,REP,99,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007025,,Presidential Electors,candidate,George W. Bush,REP,97,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007026,,Presidential Electors,candidate,George W. Bush,REP,119,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007027,,Presidential Electors,candidate,George W. Bush,REP,70,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007028,,Presidential Electors,candidate,George W. Bush,REP,69,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007029,,Presidential Electors,candidate,George W. Bush,REP,120,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007030,,Presidential Electors,candidate,George W. Bush,REP,86,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007031,,Presidential Electors,candidate,George W. Bush,REP,55,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007032,,Presidential Electors,candidate,George W. Bush,REP,177,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007033,,Presidential Electors,candidate,George W. Bush,REP,127,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007034,,Presidential Electors,candidate,George W. Bush,REP,365,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007035,,Presidential Electors,candidate,George W. Bush,REP,248,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007036,,Presidential Electors,candidate,George W. Bush,REP,112,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007037,,Presidential Electors,candidate,George W. Bush,REP,178,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007038,,Presidential Electors,candidate,George W. Bush,REP,103,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007039,,Presidential Electors,candidate,George W. Bush,REP,104,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007040,,Presidential Electors,candidate,George W. Bush,REP,88,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007041,,Presidential Electors,candidate,George W. Bush,REP,62,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007042,,Presidential Electors,candidate,George W. Bush,REP,122,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007043,,Presidential Electors,candidate,George W. Bush,REP,143,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007044,,Presidential Electors,candidate,George W. Bush,REP,152,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007045,,Presidential Electors,candidate,George W. Bush,REP,152,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007046,,Presidential Electors,candidate,George W. Bush,REP,206,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007047,,Presidential Electors,candidate,George W. Bush,REP,208,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007048,,Presidential Electors,candidate,George W. Bush,REP,250,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007049,,Presidential Electors,candidate,George W. Bush,REP,228,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007050,,Presidential Electors,candidate,George W. Bush,REP,260,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007051,,Presidential Electors,candidate,George W. Bush,REP,210,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007052,,Presidential Electors,candidate,George W. Bush,REP,251,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007053,,Presidential Electors,candidate,George W. Bush,REP,152,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007054,,Presidential Electors,candidate,George W. Bush,REP,205,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007055,,Presidential Electors,candidate,George W. Bush,REP,211,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107001,,Presidential Electors,candidate,George W. Bush,REP,316,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107002,,Presidential Electors,candidate,George W. Bush,REP,213,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107003,,Presidential Electors,candidate,George W. Bush,REP,100,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107004,,Presidential Electors,candidate,George W. Bush,REP,178,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107005,,Presidential Electors,candidate,George W. Bush,REP,140,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107006,,Presidential Electors,candidate,George W. Bush,REP,144,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107007,,Presidential Electors,candidate,George W. Bush,REP,173,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107008,,Presidential Electors,candidate,George W. Bush,REP,151,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107009,,Presidential Electors,candidate,George W. Bush,REP,110,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107010,,Presidential Electors,candidate,George W. Bush,REP,73,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107011,,Presidential Electors,candidate,George W. Bush,REP,113,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107012,,Presidential Electors,candidate,George W. Bush,REP,66,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107013,,Presidential Electors,candidate,George W. Bush,REP,100,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107014,,Presidential Electors,candidate,George W. Bush,REP,55,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107015,,Presidential Electors,candidate,George W. Bush,REP,64,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181107016,,Presidential Electors,candidate,George W. Bush,REP,97,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181207001,,Presidential Electors,candidate,George W. Bush,REP,234,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307001,,Presidential Electors,candidate,George W. Bush,REP,150,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307002,,Presidential Electors,candidate,George W. Bush,REP,163,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307003,,Presidential Electors,candidate,George W. Bush,REP,151,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307004,,Presidential Electors,candidate,George W. Bush,REP,211,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307005,,Presidential Electors,candidate,George W. Bush,REP,84,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307006,,Presidential Electors,candidate,George W. Bush,REP,76,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307007,,Presidential Electors,candidate,George W. Bush,REP,107,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307008,,Presidential Electors,candidate,George W. Bush,REP,199,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307009,,Presidential Electors,candidate,George W. Bush,REP,125,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307010,,Presidential Electors,candidate,George W. Bush,REP,195,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307011,,Presidential Electors,candidate,George W. Bush,REP,167,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307012,,Presidential Electors,candidate,George W. Bush,REP,163,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307013,,Presidential Electors,candidate,George W. Bush,REP,159,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307014,,Presidential Electors,candidate,George W. Bush,REP,75,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307015,,Presidential Electors,candidate,George W. Bush,REP,77,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307016,,Presidential Electors,candidate,George W. Bush,REP,104,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307017,,Presidential Electors,candidate,George W. Bush,REP,87,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307018,,Presidential Electors,candidate,George W. Bush,REP,117,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307019,,Presidential Electors,candidate,George W. Bush,REP,180,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307020,,Presidential Electors,candidate,George W. Bush,REP,103,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307021,,Presidential Electors,candidate,George W. Bush,REP,127,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307022,,Presidential Electors,candidate,George W. Bush,REP,139,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307023,,Presidential Electors,candidate,George W. Bush,REP,122,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307024,,Presidential Electors,candidate,George W. Bush,REP,111,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307025,,Presidential Electors,candidate,George W. Bush,REP,78,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307026,,Presidential Electors,candidate,George W. Bush,REP,93,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307027,,Presidential Electors,candidate,George W. Bush,REP,76,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307028,,Presidential Electors,candidate,George W. Bush,REP,81,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307029,,Presidential Electors,candidate,George W. Bush,REP,105,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307030,,Presidential Electors,candidate,George W. Bush,REP,121,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307031,,Presidential Electors,candidate,George W. Bush,REP,128,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181307032,,Presidential Electors,candidate,George W. Bush,REP,136,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2999907999,,Presidential Electors,candidate,George W. Bush,REP,36,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107001,,Presidential Electors,candidate,George W. Bush,REP,279,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107002,,Presidential Electors,candidate,George W. Bush,REP,249,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107003,,Presidential Electors,candidate,George W. Bush,REP,351,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107004,,Presidential Electors,candidate,George W. Bush,REP,361,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107005,,Presidential Electors,candidate,George W. Bush,REP,408,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107006,,Presidential Electors,candidate,George W. Bush,REP,348,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107007,,Presidential Electors,candidate,George W. Bush,REP,273,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107008,,Presidential Electors,candidate,George W. Bush,REP,403,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107009,,Presidential Electors,candidate,George W. Bush,REP,692,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107010,,Presidential Electors,candidate,George W. Bush,REP,468,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107011,,Presidential Electors,candidate,George W. Bush,REP,380,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107012,,Presidential Electors,candidate,George W. Bush,REP,317,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107013,,Presidential Electors,candidate,George W. Bush,REP,367,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107014,,Presidential Electors,candidate,George W. Bush,REP,286,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107015,,Presidential Electors,candidate,George W. Bush,REP,213,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107016,,Presidential Electors,candidate,George W. Bush,REP,380,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107017,,Presidential Electors,candidate,George W. Bush,REP,428,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107018,,Presidential Electors,candidate,George W. Bush,REP,479,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107019,,Presidential Electors,candidate,George W. Bush,REP,351,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107020,,Presidential Electors,candidate,George W. Bush,REP,276,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107021,,Presidential Electors,candidate,George W. Bush,REP,249,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107022,,Presidential Electors,candidate,George W. Bush,REP,197,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107023,,Presidential Electors,candidate,George W. Bush,REP,449,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107024,,Presidential Electors,candidate,George W. Bush,REP,462,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107025,,Presidential Electors,candidate,George W. Bush,REP,810,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107026,,Presidential Electors,candidate,George W. Bush,REP,482,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107027,,Presidential Electors,candidate,George W. Bush,REP,240,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107028,,Presidential Electors,candidate,George W. Bush,REP,241,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107029,,Presidential Electors,candidate,George W. Bush,REP,385,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107030,,Presidential Electors,candidate,George W. Bush,REP,268,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107031,,Presidential Electors,candidate,George W. Bush,REP,298,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107032,,Presidential Electors,candidate,George W. Bush,REP,404,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107033,,Presidential Electors,candidate,George W. Bush,REP,674,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107034,,Presidential Electors,candidate,George W. Bush,REP,331,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107035,,Presidential Electors,candidate,George W. Bush,REP,376,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107036,,Presidential Electors,candidate,George W. Bush,REP,368,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107037,,Presidential Electors,candidate,George W. Bush,REP,265,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171107038,,Presidential Electors,candidate,George W. Bush,REP,415,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207001,,Presidential Electors,candidate,George W. Bush,REP,140,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207002,,Presidential Electors,candidate,George W. Bush,REP,232,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207003,,Presidential Electors,candidate,George W. Bush,REP,237,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207004,,Presidential Electors,candidate,George W. Bush,REP,262,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207005,,Presidential Electors,candidate,George W. Bush,REP,176,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207006,,Presidential Electors,candidate,George W. Bush,REP,196,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207007,,Presidential Electors,candidate,George W. Bush,REP,178,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207008,,Presidential Electors,candidate,George W. Bush,REP,144,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207009,,Presidential Electors,candidate,George W. Bush,REP,217,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207010,,Presidential Electors,candidate,George W. Bush,REP,377,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207011,,Presidential Electors,candidate,George W. Bush,REP,574,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207012,,Presidential Electors,candidate,George W. Bush,REP,190,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207013,,Presidential Electors,candidate,George W. Bush,REP,273,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207014,,Presidential Electors,candidate,George W. Bush,REP,295,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4171207015,,Presidential Electors,candidate,George W. Bush,REP,351,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4181107001,,Presidential Electors,candidate,George W. Bush,REP,109,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4181307001,,Presidential Electors,candidate,George W. Bush,REP,305,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4181307002,,Presidential Electors,candidate,George W. Bush,REP,332,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,4181307003,,Presidential Electors,candidate,George W. Bush,REP,320,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161107001,,Presidential Electors,candidate,John F. Kerry,DEM,182,,
